4G_App_Thrp,PDCP_Thrp,RSRP,RSRQ,SINR,PDSCH_RB
,,-81.8,-6.6,21.7,4
,,-81.8,-6.6,21.7,4
,4.44,-81.9,-8.7,17.7,4
,4.44,-81.9,-8.7,17.7,4
,23323,-83.7,-11.1,17.4,80.4
,23323,-83.7,-11.1,17.4,80.4
,49744.01,-85.1,-11.8,19,80.4
,49744.01,-85.1,-11.8,19,80.4
15215.21,29291.63,-87.9,-13,13.3,77.8
15215.21,29291.63,-87.9,-13,13.3,77.8
61911.81,53661.8,-87.7,-11.9,16.9,92
61911.81,53661.8,-87.7,-11.9,16.9,92
22516,39175.42,-87.2,-12,17.1,54.9
22516,39175.42,-87.2,-12,17.1,54.9
54454.4,28590.19,-87.9,-11.9,15.3,54
54454.4,28590.19,-87.9,-11.9,15.3,54
19068.4,38068.84,-87.8,-12.2,17.9,59.2
19068.4,38068.84,-87.8,-12.2,17.9,59.2
38386.4,49235.63,-88.5,-12.4,17.7,94
38386.4,49235.63,-88.5,-12.4,17.7,94
,53751.33,-87.7,-12.2,16.1,88
,53751.33,-87.7,-12.2,16.1,88
62119.2,52953.55,-88,-11,18.7,85.2
62119.2,52953.55,-88,-11,18.7,85.2
50908,45739.84,-88.6,-11.2,17.8,83.6
50908,45739.84,-88.6,-11.2,17.8,83.6
,39037.71,-87.2,-11.9,17.2,89.2
,39037.71,-87.2,-11.9,17.2,89.2
41943.2,38284.58,-86.8,-12.3,16.8,84.4
41943.2,38284.58,-86.8,-12.3,16.8,84.4
45645.6,59033.8,-87.6,-12.4,16.7,88
45645.6,59033.8,-87.6,-12.4,16.7,88
61297.6,79500.23,-84.8,-12,18.9,85.5
61297.6,79500.23,-84.8,-12,18.9,85.5
68900,74463.1,-87,-11.8,18.7,92.4
68900,74463.1,-87,-11.8,18.7,92.4
76689.6,77857.47,-86.2,-12.2,16.8,82
76689.6,77857.47,-86.2,-12.2,16.8,82
,52671.92,-86.8,-11.8,17.8,64.8
,52671.92,-86.8,-11.8,17.8,64.8
76523.2,58799.39,-87.1,-12.3,16.4,53.2
76523.2,58799.39,-87.1,-12.3,16.4,53.2
57439.2,40347.99,-86.6,-11.9,18.1,48
57439.2,40347.99,-86.6,-11.9,18.1,48
40049.47,35300.19,-86.2,-12.3,17.7,44
40049.47,35300.19,-86.2,-12.3,17.7,44
,35744.95,-84.3,-12,18.2,58.4
,35744.95,-84.3,-12,18.2,58.4
38584,46757.3,-84.7,-12.1,19.6,46.8
38584,46757.3,-84.7,-12.1,19.6,46.8
,61406.28,-84.6,-11.8,19.1,80.4
,61406.28,-84.6,-11.8,19.1,80.4
57582.38,107928,-80.8,-11.9,21.7,86.4
57582.38,107928,-80.8,-11.9,21.7,86.4
71387.84,104347.9,-82.2,-11.9,22.4,79.6
71387.84,104347.9,-82.2,-11.9,22.4,79.6
,76136.29,-83.1,-12,20.5,60
,76136.29,-83.1,-12,20.5,60
95544.8,59208.72,-82.4,-12,23.3,49.6
95544.8,59208.72,-82.4,-12,23.3,49.6
42130.4,71876.78,-82,-11.6,21.6,75.6
42130.4,71876.78,-82,-11.6,21.6,75.6
69786.27,88343.94,-77.8,-9.3,25.7,59.6
69786.27,88343.94,-77.8,-9.3,25.7,59.6
85676.06,100678.22,-75.5,-11.5,24.4,70
85676.06,100678.22,-75.5,-11.5,24.4,70
,111844.43,-74,-9.8,28.4,76.8
,111844.43,-74,-9.8,28.4,76.8
101486.2,89608.54,-73.2,-11.5,28.5,65.6
101486.2,89608.54,-73.2,-11.5,28.5,65.6
99651.25,133418.98,-73.2,-11.9,26.9,91.6
99651.25,133418.98,-73.2,-11.9,26.9,91.6
,131764.53,-73.8,-11.8,27.3,66.4
,131764.53,-73.8,-11.8,27.3,66.4
110883.42,65887.25,-78.6,-11.6,25.3,63.1
110883.42,65887.25,-78.6,-11.6,25.3,63.1
104928.86,132262.2,-79.1,-11.6,26.1,85.2
104928.86,132262.2,-79.1,-11.6,26.1,85.2
,108540.5,-76.6,-11.5,26.7,74.8
,108540.5,-76.6,-11.5,26.7,74.8
42335.97,80508.28,-75.5,-10.8,25,76
42335.97,80508.28,-75.5,-10.8,25,76
0,128097.73,-72.8,-11.3,26.2,73.6
0,128097.73,-72.8,-11.3,26.2,73.6
,120101.68,-72.9,-11.5,26.1,91.2
,120101.68,-72.9,-11.5,26.1,91.2
0,126659.99,-68.4,-11.8,28.5,87.2
0,126659.99,-68.4,-11.8,28.5,87.2
0,126346.69,-70.9,-12,27.8,92.8
0,126346.69,-70.9,-12,27.8,92.8
0,121545.53,-74,-11.5,26.5,78.4
0,121545.53,-74,-11.5,26.5,78.4
0,104952.22,-76.1,-9.2,27,76
0,104952.22,-76.1,-9.2,27,76
0,17486.67,-79.9,-7.9,23.4,54.3
0,17486.67,-79.9,-7.9,23.4,54.3
0,96550.61,-81.9,-11.5,22.2,85.2
0,96550.61,-81.9,-11.5,22.2,85.2
,82851.3,-83.3,-10.2,18.7,81.2
,82851.3,-83.3,-10.2,18.7,81.2
0,66667.34,-82,-11.5,19.4,76
0,66667.34,-82,-11.5,19.4,76
,81353.68,-82.9,-11.8,18.5,62.8
,81353.68,-82.9,-11.8,18.5,62.8
0,50644.84,-83.2,-12.2,18.7,44.4
0,50644.84,-83.2,-12.2,18.7,44.4
0,47101.31,-84.6,-11.9,17.9,44.4
0,47101.31,-84.6,-11.9,17.9,44.4
,45185.92,-83.8,-11.9,18.2,40
,45185.92,-83.8,-11.9,18.2,40
,47246.37,-84.6,-12.2,19.4,47.1
,47246.37,-84.6,-12.2,19.4,47.1
0,57931.46,-81.7,-12,20.2,50.4
0,57931.46,-81.7,-12,20.2,50.4
,68457.95,-82.6,-11.6,20,78
,68457.95,-82.6,-11.6,20,78
0,88044.99,-84.5,-12,19.5,86.8
0,88044.99,-84.5,-12,19.5,86.8
0,80933.96,-83.9,-12,20.7,89.6
0,80933.96,-83.9,-12,20.7,89.6
0,73669.3,-83.9,-12,16.6,79.2
0,73669.3,-83.9,-12,16.6,79.2
0,86255.4,-83.7,-12,18.6,81.6
0,86255.4,-83.7,-12,18.6,81.6
0,83393.43,-82,-11.7,18.7,78
0,83393.43,-82,-11.7,18.7,78
0,77724.22,-84.3,-11.6,21.2,85.2
0,77724.22,-84.3,-11.6,21.2,85.2
,89799.02,-83.3,-12.1,21.3,90.8
,89799.02,-83.3,-12.1,21.3,90.8
0,94643.22,-83.1,-11.9,19.2,89.3
0,94643.22,-83.1,-11.9,19.2,89.3
0,91754.63,-84.1,-11.8,18.3,84.8
0,91754.63,-84.1,-11.8,18.3,84.8
0,60440.7,-84.1,-12.6,12.9,88
0,60440.7,-84.1,-12.6,12.9,88
0,76658.77,-86.3,-12,18,87.1
0,76658.77,-86.3,-12,18,87.1
0,66663.76,-86,-12.5,16.3,74.8
0,66663.76,-86,-12.5,16.3,74.8
0,64504.58,-86.7,-11.8,16.5,81.2
0,64504.58,-86.7,-11.8,16.5,81.2
0,86029.55,-85.6,-11.9,17.7,94.8
0,86029.55,-85.6,-11.9,17.7,94.8
0,76718.14,-87,-12.4,19.3,86.8
0,76718.14,-87,-12.4,19.3,86.8
0,70174.18,-86.2,-11.9,20,88.4
0,70174.18,-86.2,-11.9,20,88.4
0,72845.7,-86.1,-12,17.6,78.8
0,72845.7,-86.1,-12,17.6,78.8
0,48662.78,-85.9,-12.2,17.2,62
0,48662.78,-85.9,-12.2,17.2,62
,74813.88,-87.4,-12.2,17.5,86
,74813.88,-87.4,-12.2,17.5,86
0,75981.64,-86.5,-12,18.1,88
0,75981.64,-86.5,-12,18.1,88
,84089.01,-87.3,-12.1,15.9,93.2
,84089.01,-87.3,-12.1,15.9,93.2
0,66435.35,-87.4,-12.5,14.5,72.8
0,66435.35,-87.4,-12.5,14.5,72.8
,61775.32,-87.7,-12.2,16.1,88
,61775.32,-87.7,-12.2,16.1,88
0,75943.17,-87.4,-12,18.2,91.6
0,75943.17,-87.4,-12,18.2,91.6
