4G_App_Thrp,PDCP_Thrp,RSRP,RSRQ,SINR,PDSCH_RB
,,-87.8,-12.6,1.6,4.0
,,-86.0,-11.1,2.7,
,,-84.6,-10.1,5.5,
,1.86,-84.8,-10.4,7.2,4.0
,10779.48,-84.6,-12.6,10.2,44.0
,19230.90,-87.4,-11.8,4.8,31.6
25165.83,57148.92,-87.3,-16.3,5.7,96.8
15333.95,71055.07,-85.8,-15.7,9.0,89.6
60609.26,61404.58,-88.9,-16.1,6.8,76.8
52850.03,57337.86,-88.5,-16.0,7.6,83.0
78457.26,33118.10,-88.4,-12.8,5.9,66.5
42920.67,55378.69,-88.9,-16.3,4.3,92.9
,,-88.8,-16.0,6.5,86.0
54270.10,51014.56,-89.0,-16.9,3.1,78.9
50770.17,45474.90,-83.2,-14.1,9.8,71.6
29559.60,25463.97,-83.9,-11.9,9.2,72.0
56673.15,6744.14,-83.4,-9.9,10.7,48.0
,45855.78,-84.9,-13.8,11.4,72.8
5775.69,46783.76,-85.5,-14.0,7.3,73.2
42603.73,37220.31,-85.6,-14.1,8.1,63.2
46542.90,36204.39,-84.0,-11.3,10.3,54.4
38606.58,44953.70,-85.0,-12.9,7.6,65.3
34966.88,50080.80,-86.2,-13.0,11.0,70.4
46497.16,33347.25,-86.1,-15.4,8.3,64.8
50539.16,32359.95,-84.6,-14.4,8.1,50.4
30780.00,20631.32,-84.1,-13.7,10.7,31.1
27010.80,17936.43,-83.9,-12.0,12.4,27.2
19266.74,20018.62,-85.6,-12.5,11.7,32.8
19375.86,23498.85,-86.3,-12.0,10.4,51.1
19236.14,22800.71,-86.0,-13.6,10.8,46.2
24040.80,19979.73,-84.2,-13.0,12.8,31.6
22219.24,16631.16,-84.0,-13.1,11.3,27.2
15470.18,22613.92,-83.7,-13.7,9.7,39.2
19263.98,28212.54,-83.3,-12.3,11.5,44.4
27200.58,32509.08,-84.0,-13.2,12.8,44.0
27040.68,36447.90,-84.1,-12.8,11.7,55.2
35013.21,42671.75,-85.8,-13.2,12.7,63.2
38718.00,41508.51,-85.9,-14.0,13.0,64.9
23326.26,43553.50,-84.9,-13.8,12.1,64.0
38716.48,39666.69,-85.3,-11.7,13.9,52.8
