4G_App_Thrp,PDCP_Thrp,RSRP,RSRQ,SINR,PDSCH_RB
,,-133.2,-12.6,4.8,8.0
,,-131.4,-12.0,4.6,
,,-132.7,-12.5,4.5,
,2.05,-121.3,-13.4,2.8,4.0
,11331.33,-113.3,-13.6,6.5,31.1
,10476.32,-111.6,-14.9,5.2,35.2
11462.60,42903.34,-114.1,-18.1,6.7,76.0
26615.49,29620.62,-114.7,-18.3,9.0,78.3
22784.13,41239.76,-112.0,-17.9,6.7,96.9
53954.84,48304.86,-117.0,-18.7,7.5,98.7
15529.90,35986.58,-113.4,-19.7,5.5,88.8
54444.44,34836.07,-110.3,-19.7,7.8,93.6
35934.73,31756.92,-109.1,-19.8,8.4,96.0
34392.55,33455.04,-110.7,-19.7,7.1,96.0
30206.01,33212.55,-117.9,-20.0,7.0,81.2
31096.50,16718.14,-113.5,-12.8,8.8,36.0
40094.67,0.00,-120.7,-12.1,9.4,50.0
,35604.50,-111.5,-17.0,8.1,88.8
1791.26,26136.59,-110.7,-18.5,5.8,92.9
30632.00,32679.05,-114.3,-19.4,4.0,98.0
30426.24,29631.52,-112.9,-19.7,0.7,95.2
34359.78,38121.50,-115.9,-17.8,4.2,93.2
30460.47,36754.30,-111.8,-19.0,5.5,91.6
38265.47,39384.26,-118.6,-19.8,3.9,94.0
34440.90,41578.45,-117.2,-16.6,4.2,86.7
40062.40,24671.30,-117.3,-18.8,4.3,55.6
34910.40,29161.72,-108.1,-19.3,2.3,81.6
28208.83,36499.45,-119.4,-18.3,3.4,78.8
26733.80,37747.60,-117.0,-19.2,3.3,81.6
38359.71,36507.68,-115.8,-18.5,4.9,86.0
35368.91,30252.44,-120.2,-19.9,0.9,84.8
37420.65,29513.23,-117.4,-20.2,0.3,79.6
26600.00,30930.15,-120.6,-18.8,-0.2,80.0
30548.33,34031.20,-116.4,-18.3,5.0,66.4
32748.52,34423.31,-116.6,-18.7,4.2,73.2
32401.60,29080.82,-116.4,-17.9,4.1,56.4
34446.10,37143.17,-119.1,-15.9,8.1,73.2
15328.96,38911.88,-116.0,-18.0,5.6,78.2
34538.84,37124.06,-115.9,-19.0,4.7,74.8
38355.28,39146.18,-117.4,-18.1,3.7,73.6
38236.34,34179.64,-117.8,-16.4,4.3,66.0
38248.00,39624.21,-114.1,-17.4,6.1,73.2
34505.67,31172.29,-116.2,-14.3,5.7,42.4
38401.14,3.86,-106.5,-13.6,7.4,4.0
14358.40,0.00,-133.3,-13.2,6.0,4.0
,0.00,-119.5,-13.3,11.2,
,0.00,-104.4,-11.8,12.2,4.0
,0.00,-118.1,-13.6,10.6,
,0.00,-128.8,-13.2,9.2,4.0
,0.00,-119.5,-14.3,7.3,
,0.00,-107.4,-14.5,8.9,4.0
,0.00,-122.3,-14.9,8.8,4.0
,0.00,-107.6,-13.8,12.3,4.0
,,-104.8,-12.6,11.7,4.0
,1.84,-108.6,-14.6,10.2,
,0.06,-101.3,-14.2,9.8,4.0
,0.00,-104.5,-12.7,-3.0,
,0.00,-115.5,-14.4,14.7,4.0
,0.00,-110.4,-14.6,11.0,
,0.00,-109.5,-12.7,10.8,4.0
,0.00,-106.2,-11.9,18.2,
,0.00,-113.4,-16.0,10.6,4.0
,0.00,-108.4,-13.3,16.3,
,0.00,-100.9,-12.9,11.5,4.0
,,-123.2,-12.0,10.3,4.0
,,-121.1,-12.0,16.2,
,,-124.1,-11.6,15.2,
,,-107.4,-13.8,13.4,4.0
,1.88,-120.9,-12.5,9.6,
,0.07,-111.1,-13.5,8.6,4.0
,0.86,-112.0,-13.3,8.9,4.0
,0.00,-116.6,-12.3,7.0,
,0.00,-123.5,-13.5,6.2,4.0
,0.00,-116.7,-15.2,7.9,
,0.00,-113.6,-13.5,4.8,4.0
,0.00,-115.2,-11.7,8.7,
,0.00,-122.7,-11.7,7.8,4.0
,0.00,-118.2,-14.6,3.7,
,0.00,-113.5,-13.5,4.4,4.0
,0.00,-118.0,-12.2,7.6,4.0
,0.00,-122.2,-12.9,5.3,4.0
,,-115.1,-16.6,-7.1,
,,-136.4,-14.1,4.0,
,0.00,-123.0,-12.7,6.3,4.0
,0.00,-135.8,-13.9,3.4,4.0
,0.00,-126.2,-12.7,4.9,4.0
,0.42,-119.9,-12.5,4.0,4.0
,12410.40,-118.0,-14.7,1.8,35.6
,11748.91,-120.6,-13.7,3.8,32.0
13297.61,41168.58,-116.9,-18.0,3.1,66.4
15215.55,40817.51,-113.4,-18.9,2.4,94.4
38273.02,47499.15,-114.5,-18.9,4.3,76.8
49188.10,36196.78,-115.7,-19.2,3.3,71.6
38535.65,35489.72,-118.5,-19.5,0.4,72.8
38267.22,37514.69,-115.5,-19.7,1.5,77.2
34464.62,36074.70,-117.9,-17.8,4.9,80.4
38370.36,34535.76,-116.0,-17.8,4.2,68.8
37097.26,29736.63,-119.9,-15.1,3.6,61.6
