POLQAScoreDL,AggActiveEcIo,AggActiveRSCP,ActiveSetMemberCount,AggActiveoverAggNonActive,BestActiveoverBestNonActive,DetectedSetCount,MonitoredSetCount,PathlossTop1,ULintfTop1,RACHLastTXpower,EcIoA1,EcIoA2,RSCPA1,RSCPA2,Speed,ASU_to_ASUC_ms,E1A_to_ASU_Delay_ms,E1A_to_ASUC_Delay_ms,E1B_to_ASU_Delay_ms,E1B_to_ASUC_Delay_ms,Interval_ASU_ASU_seconds,CompositeBLER%,NumofErrorBlocks,ReceivedGoodBlocks-Sum
4,-7.099999905,-61.20000076,2,6.599999905,6.599999905,1,2,90,-105,-18,-9.100000381,-11.60000038,-63.09999847,-67.5,5.900000095,36,876,907,413,455,1.590000033,11.89999962,216,1756
3.619999886,-7.699999809,-60,1,-5.300000191,-2.700000048,1,2,108.8000031,-105,-18,-7.900000095,-14.39999962,-60.20000076,-69,34.59999847,7,254,264,318,318,0.959999979,26.10000038,31,88
3.970000029,-7.800000191,-59.09999847,2,-4.099999905,-0.899999976,2,3,108.8000031,-105,-18,-8.199999809,-19.5,-59.5,-70.40000153,43.79999924,0,217,292,277,277,0.589999974,5.199999809,14,270
4.28000021,-7.599999905,-64.09999847,1,2,6.699999809,1,8,108.8000031,-105,-18,-8.199999809,-12.19999981,-64.59999847,-68.19999695,31.39999962,59,217,292,413,413,1.50999999,17.79999924,58,248
4.320000172,-9.399999619,-62.09999847,1,2.700000048,7.599999905,1,6,90.09999847,-105,-18,-10.39999962,-12.10000038,-63.09999847,-68.30000305,34.20000076,9,6011,6026,352,352,4.070000172,7.699999809,29,385
4.25,-9.5,-66.30000305,2,1.799999952,5.300000191,0,8,90.09999847,-105,-18,-10.89999962,-15,-67.40000153,-73,43,0,383,383,183,302,7.639999866,3.400000095,5,140
4.340000153,-5.900000095,-63.59999847,1,0.800000012,7.400000095,2,5,90.09999847,-105,-18,-5.900000095,-20.20000076,-63.59999847,-73.5,25.70000076,118,393,393,183,302,1.399999976,6.599999905,28,401
4.170000076,-9.600000381,-60.70000076,2,6.599999905,12.30000019,0,5,90.09999847,-105,-18,-10,-20.20000076,-61,-73.5,25.70000076,118,393,393,183,302,1.399999976,13,48,350
4.269999981,-3.099999905,-58.59999847,2,6.900000095,10.5,0,6,90.09999847,-105,-18,-4,-10.80000019,-59.20000076,-67.40000153,25.60000038,0,393,393,405,405,5.119999886,23.29999924,27,89
4.320000172,-5.400000095,-56.40000153,1,-1.5,4.699999809,6,6,90.09999847,-105,-18,-6.400000095,-12.19999981,-57,-61.90000153,29.20000076,0,393,393,106,106,1.539999962,14.69999981,37,222
4.309999943,-5.699999809,-57.5,1,7.900000095,12.19999981,1,4,90.09999847,-105,-18,-5.699999809,-14.39999962,-57.5,-74.19999695,31.10000038,129,282,411,433,434,17.46999931,20.60000038,119,504
4.260000229,-2.400000095,-53.09999847,1,13.19999981,15,0,3,90.09999847,-105,-18,-2.400000095,-15.80000019,-53.09999847,-65.80000305,33.90000153,1,381,382,433,434,1.00999999,18.79999924,44,212
3.380000114,-3.5,-55.59999847,1,10.30000019,13.10000038,0,3,90.09999847,-105,-18,-3.5,-15.80000019,-55.59999847,-65.80000305,38.09999847,1,381,382,433,434,1.00999999,43.5,88,114
